formacode,description,field,generic_term
71904,framework Bootstrap,,71954 FRAMEWORK
71908,framework Entity,,71954 FRAMEWORK
71907,framework Hibernate,,71954 FRAMEWORK
71901,framework jQuery,,71954 FRAMEWORK
71903,framework jQuery Mobile,,71954 FRAMEWORK
71902,framework jQuery UI,,71954 FRAMEWORK
71910,framework symfony,,71954 FRAMEWORK
70154,logiciel abonnement presse,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
70254,logiciel aide décision,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
70201,logiciel Business Objects,,70254 LOGICIEL AIDE DECISION
70202,logiciel Cognos,,70254 LOGICIEL AIDE DECISION
70203,logiciel Crystal Reports,,70254 LOGICIEL AIDE DECISION
70204,logiciel Hyperion,,70254 LOGICIEL AIDE DECISION
72554,logiciel architecture,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
72501,logiciel ArchiCAD,,72554 LOGICIEL ARCHITECTURE
72503,logiciel Revit,,72554 LOGICIEL ARCHITECTURE
72502,logiciel SketchUp,,72554 LOGICIEL ARCHITECTURE
72754,logiciel audiovisuel,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
72740,logiciel cinéma animation,,72754 LOGICIEL AUDIOVISUEL
72742,logiciel Cinema 4D,,72740 LOGICIEL CINEMA ANIMATION
72741,logiciel Nuke,,72740 LOGICIEL CINEMA ANIMATION
72710,logiciel montage audiovisuel,,72754 LOGICIEL AUDIOVISUEL
72713,logiciel Final Cut Pro,,72710 LOGICIEL MONTAGE AUDIOVISUEL
72712,logiciel Media Composer,,72710 LOGICIEL MONTAGE AUDIOVISUEL
72714,logiciel Pinnacle Studio,,72710 LOGICIEL MONTAGE AUDIOVISUEL
72711,logiciel Premiere Pro,,72710 LOGICIEL MONTAGE AUDIOVISUEL
72730,logiciel montage son,,72754 LOGICIEL AUDIOVISUEL
72720,logiciel postproduction,,72754 LOGICIEL AUDIOVISUEL
72721,logiciel encore dvd,,72720 LOGICIEL POSTPRODUCTION
71854,logiciel autre,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
71803,logiciel Infopath,,71854 LOGICIEL AUTRE
71802,logiciel Tanagra,,71854 LOGICIEL AUTRE
71804,logiciel VMware,,71854 LOGICIEL AUTRE
70354,logiciel bureautique,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
70310,logiciel PREAO,,70354 LOGICIEL BUREAUTIQUE
70311,logiciel Impress,,70310 LOGICIEL PREAO
